"Htno","Subcode","Subname","Grade","Credits"
"19JK1A0408","R19HS1101","ENGLISH","C","3"
"19JK1A0408","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0408","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0409","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0409","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0409","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0409","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0409","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0409","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0409","R19HS1101","ENGLISH","D","3"
"19JK1A0409","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0409","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0410","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0410","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0410","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0410","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0410","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0410","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0410","R19HS1101","ENGLISH","D","3"
"19JK1A0410","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0410","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0411","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0411","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0411","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0411","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0411","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0411","R19ES1103","ENGINEERING DRAWING","C","2"
"19JK1A0411","R19HS1101","ENGLISH","C","3"
"19JK1A0411","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0411","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0412","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0412","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0412","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0412","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0412","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0412","R19ES1103","ENGINEERING DRAWING","C","2"
"19JK1A0412","R19HS1101","ENGLISH","B","3"
"19JK1A0412","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0412","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0413","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0413","R19BS1106","APPLIED CHEMISTRY","B","3"
"19JK1A0413","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0413","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","C","3"
"19JK1A0413","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0413","R19ES1103","ENGINEERING DRAWING","C","2"
"19JK1A0413","R19HS1101","ENGLISH","B","3"
"19JK1A0413","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0413","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0414","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0414","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0414","R19BS1107","APPLIED CHEMISTRY LAB","A","1"
"19JK1A0414","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0414","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0414","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0414","R19HS1101","ENGLISH","D","3"
"19JK1A0414","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0414","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0415","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0415","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0415","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0415","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0415","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0415","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0415","R19HS1101","ENGLISH","B","3"
"19JK1A0415","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0415","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0416","R19BS1101","MATHEMATICS-I","A","3"
"19JK1A0416","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0416","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0416","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0416","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0416","R19ES1103","ENGINEERING DRAWING","A","2"
"19JK1A0416","R19HS1101","ENGLISH","A","3"
"19JK1A0416","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0416","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0417","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0417","R19BS1106","APPLIED CHEMISTRY","C","3"
"19JK1A0417","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0417","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0417","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0417","R19ES1103","ENGINEERING DRAWING","C","2"
"19JK1A0417","R19HS1101","ENGLISH","C","3"
"19JK1A0417","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0417","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0418","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0418","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0418","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0418","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0418","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0418","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0418","R19HS1101","ENGLISH","D","3"
"19JK1A0418","R19HS1102","ENGLISH LAB","A","1"
"19JK1A0418","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0419","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0419","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0419","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0419","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0419","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0419","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0419","R19HS1101","ENGLISH","C","3"
"19JK1A0419","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0419","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0420","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0420","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0420","R19BS1107","APPLIED CHEMISTRY LAB","O","1"
"19JK1A0420","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0420","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0420","R19ES1103","ENGINEERING DRAWING","B","2"
"19JK1A0420","R19HS1101","ENGLISH","C","3"
"19JK1A0420","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0420","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0421","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0421","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0421","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0421","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0421","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0421","R19ES1103","ENGINEERING DRAWING","D","2"
"19JK1A0421","R19HS1101","ENGLISH","C","3"
"19JK1A0421","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0421","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0422","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0422","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0422","R19BS1107","APPLIED CHEMISTRY LAB","A","1"
"19JK1A0422","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0422","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0422","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0422","R19HS1101","ENGLISH","F","0"
"19JK1A0422","R19HS1102","ENGLISH LAB","A","1"
"19JK1A0422","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0423","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0423","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0423","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0423","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0423","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0423","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0423","R19HS1101","ENGLISH","C","3"
"19JK1A0423","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0423","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0424","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0424","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0424","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0424","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0424","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","A","1"
"19JK1A0424","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0424","R19HS1101","ENGLISH","D","3"
"19JK1A0424","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0424","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0425","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0425","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0425","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0425","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0425","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0425","R19ES1103","ENGINEERING DRAWING","C","2"
"19JK1A0425","R19HS1101","ENGLISH","C","3"
"19JK1A0425","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0425","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0426","R19BS1101","MATHEMATICS-I","C","3"
"19JK1A0426","R19BS1106","APPLIED CHEMISTRY","B","3"
"19JK1A0426","R19BS1107","APPLIED CHEMISTRY LAB","O","1"
"19JK1A0426","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","C","3"
"19JK1A0426","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0426","R19ES1103","ENGINEERING DRAWING","C","2"
"19JK1A0426","R19HS1101","ENGLISH","B","3"
"19JK1A0426","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0426","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0427","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0427","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0427","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0427","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0427","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0427","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0427","R19HS1101","ENGLISH","D","3"
"19JK1A0427","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0427","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0428","R19BS1101","MATHEMATICS-I","C","3"
"19JK1A0428","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0428","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0428","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0428","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0428","R19ES1103","ENGINEERING DRAWING","C","2"
"19JK1A0428","R19HS1101","ENGLISH","B","3"
"19JK1A0428","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0428","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0429","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0429","R19BS1106","APPLIED CHEMISTRY","C","3"
"19JK1A0429","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0429","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0429","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0429","R19ES1103","ENGINEERING DRAWING","C","2"
"19JK1A0429","R19HS1101","ENGLISH","C","3"
"19JK1A0429","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0429","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0430","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0430","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0430","R19BS1107","APPLIED CHEMISTRY LAB","A","1"
"19JK1A0430","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0430","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0430","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0430","R19HS1101","ENGLISH","C","3"
"19JK1A0430","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0430","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0433","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0433","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0433","R19BS1107","APPLIED CHEMISTRY LAB","A","1"
"19JK1A0433","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0433","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0433","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0433","R19HS1101","ENGLISH","F","0"
"19JK1A0433","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0433","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0434","R19BS1101","MATHEMATICS-I","A","3"
"19JK1A0434","R19BS1106","APPLIED CHEMISTRY","C","3"
"19JK1A0434","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0434","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","C","3"
"19JK1A0434","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0434","R19ES1103","ENGINEERING DRAWING","B","2"
"19JK1A0434","R19HS1101","ENGLISH","C","3"
"19JK1A0434","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0434","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0435","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0435","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0435","R19BS1107","APPLIED CHEMISTRY LAB","A","1"
"19JK1A0435","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0435","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0435","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0435","R19HS1101","ENGLISH","C","3"
"19JK1A0435","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0435","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0436","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0436","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0436","R19BS1107","APPLIED CHEMISTRY LAB","A","1"
"19JK1A0436","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0436","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0436","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0436","R19HS1101","ENGLISH","B","3"
"19JK1A0436","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0436","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0437","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0437","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0437","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0437","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0437","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0437","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0437","R19HS1101","ENGLISH","D","3"
"19JK1A0437","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0437","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0438","R19BS1101","MATHEMATICS-I","A","3"
"19JK1A0438","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0438","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0438","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0438","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0438","R19ES1103","ENGINEERING DRAWING","A","2"
"19JK1A0438","R19HS1101","ENGLISH","C","3"
"19JK1A0438","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0438","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0439","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0439","R19BS1106","APPLIED CHEMISTRY","B","3"
"19JK1A0439","R19BS1107","APPLIED CHEMISTRY LAB","O","1"
"19JK1A0439","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","C","3"
"19JK1A0439","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0439","R19ES1103","ENGINEERING DRAWING","C","2"
"19JK1A0439","R19HS1101","ENGLISH","B","3"
"19JK1A0439","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0439","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0440","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0440","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0440","R19BS1107","APPLIED CHEMISTRY LAB","O","1"
"19JK1A0440","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0440","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0440","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0440","R19HS1101","ENGLISH","D","3"
"19JK1A0440","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0440","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0441","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0441","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0441","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0441","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0441","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0441","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0441","R19HS1101","ENGLISH","D","3"
"19JK1A0441","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0441","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0442","R19BS1101","MATHEMATICS-I","A","3"
"19JK1A0442","R19BS1106","APPLIED CHEMISTRY","C","3"
"19JK1A0442","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0442","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","C","3"
"19JK1A0442","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0442","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0442","R19HS1101","ENGLISH","C","3"
"19JK1A0442","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0442","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0443","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0443","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0443","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0443","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0443","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0443","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0443","R19HS1101","ENGLISH","F","0"
"19JK1A0443","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0443","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0445","R19BS1101","MATHEMATICS-I","B","3"
"19JK1A0445","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0445","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0445","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0445","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0445","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0445","R19HS1101","ENGLISH","C","3"
"19JK1A0445","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0445","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0446","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0446","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0446","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0446","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0446","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0446","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0446","R19HS1101","ENGLISH","D","3"
"19JK1A0446","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0446","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0447","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0447","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0447","R19BS1107","APPLIED CHEMISTRY LAB","A","1"
"19JK1A0447","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0447","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0447","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0447","R19HS1101","ENGLISH","D","3"
"19JK1A0447","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0447","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0448","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0448","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0448","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0448","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0448","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0448","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0448","R19HS1101","ENGLISH","D","3"
"19JK1A0448","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0448","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0449","R19BS1101","MATHEMATICS-I","D","3"
"19JK1A0449","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0449","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0449","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0449","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0449","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0449","R19HS1101","ENGLISH","B","3"
"19JK1A0449","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0449","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0450","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0450","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0450","R19BS1107","APPLIED CHEMISTRY LAB","A","1"
"19JK1A0450","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0450","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0450","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0450","R19HS1101","ENGLISH","D","3"
"19JK1A0450","R19HS1102","ENGLISH LAB","S","1"
"19JK1A0450","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0451","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0451","R19BS1106","APPLIED CHEMISTRY","F","0"
"19JK1A0451","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0451","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","F","0"
"19JK1A0451","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","S","1"
"19JK1A0451","R19ES1103","ENGINEERING DRAWING","F","0"
"19JK1A0451","R19HS1101","ENGLISH","F","0"
"19JK1A0451","R19HS1102","ENGLISH LAB","B","1"
"19JK1A0451","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0452","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0452","R19BS1106","APPLIED CHEMISTRY","D","3"
"19JK1A0452","R19BS1107","APPLIED CHEMISTRY LAB","S","1"
"19JK1A0452","R19ES1101","PROGRAMMING FOR PROBLEM SOLVING USING C","D","3"
"19JK1A0452","R19ES1102","PROGRAMMING FOR PROBLEM SOLVING USING C","O","1"
"19JK1A0452","R19ES1103","ENGINEERING DRAWING","A","2"
"19JK1A0452","R19HS1101","ENGLISH","D","3"
"19JK1A0452","R19HS1102","ENGLISH LAB","O","1"
"19JK1A0452","R19MC1101","ENVIRONMENTAL SCIENCE","COMPLETED","0"
"19JK1A0453","R19BS1101","MATHEMATICS-I","F","0"
"19JK1A0453","R19BS1106","APPLIED CHEMISTRY","D","3"
